Gardiner Center,12 Plummer St.,Gardiner,04345,(207) 582-7858,"Head Start, Child Care",
Lake Region Center,165 Lakeview Drive,China,04358,(207) 445-4004,Head Start,
Magic Years Center,25 Industrial Drive,Augusta,04330,"(207) 621-6397, (207) 621-6398","Head Start, Early Head Start, Child Care",
Monmouth Pre-K Partnership,169 Academy Road,Monmouth,04259,(207) 933-4426,Head Start,
Chelsea Pre-K Partnership,566 Togus Road,Chelsea,04330,(207) 582-2214,Head Start,
South Gardiner Center,721 River Rd.,S. Gardiner,04345,(207) 582-3264,Early Head Start,
Vassalboro Pre-K Partnership,1116 Webber Pond Road,Vassalboro,04935,(207) 923-3100,Head Start,
Webster Center,34 Franklin Stree,Augusta,04330,"(207) 626-3418, (207) 626-3474",Head Start,
 Windsor Pre-K Partnership,366 Ridge Road,Windsor,04363,(207) 445-2356,Head Start,
Winthrop Pre-K Partnership,23 Highland Avenue,Winthrop,04364,(207) 377-2241,Head Start,
